,A,B
2,Teyana Taylor,Hit-Boy
3,Teyana Taylor,Hit-Boy
4,Teyana Taylor,Cam'ron
5,Teyana Taylor,Jadakiss
0,Sweet Tee,DJ Jazzy Joyce
1,Sweet Tee,DJ Jazzy Joyce
2,Sweet Tee,DJ Jazzy Joyce
3,Sweet Tee,Antoinette (rapper)
4,Sweet Tee,Kid Capri
0,Termanology,Reks
1,Termanology,Statik Selektah
2,Termanology,Statik Selektah
3,Termanology,Statik Selektah
4,Termanology,Slaine (rapper)
5,Termanology,Slaine (rapper)
6,Termanology,DJ Premier
7,Termanology,Pete Rock
8,Termanology,Large Professor
9,Termanology,Easy Mo Bee
10,Termanology,Buckwild (music producer)
11,Termanology,Kid Ink
12,Termanology,Cory Gunz
13,Termanology,DJ Kay Slay
14,Termanology,Sheek Louch
15,Termanology,N.O.R.E.
16,Termanology,Sean Price
17,Termanology,Inspectah Deck
18,Termanology,Saigon (rapper)
19,Termanology,Q-Tip (musician)
0,Token (rapper),Sway Calloway
1,Token (rapper),Lil Xan
2,Token (rapper),Lil Skies
3,Token (rapper),Lil Skies
0,Tone Trump,Hell Rell
0,Tha Trademarc,John Cena
1,Tha Trademarc,John Cena
0,Treach,Pepa (rapper)
1,Treach,Queen Latifah
2,Treach,Tupac Shakur
3,Treach,Tupac Shakur
4,Treach,Apache (rapper)
5,Treach,Eazy-E
0,ASAP Twelvyy,AraabMuzik
1,ASAP Twelvyy,Smoke DZA
2,ASAP Twelvyy,Smoke DZA
3,ASAP Twelvyy,ASAP Rocky
4,ASAP Twelvyy,ASAP Rocky
5,ASAP Twelvyy,ASAP Rocky
6,ASAP Twelvyy,Big L
7,ASAP Twelvyy,Nas
8,ASAP Twelvyy,50 Cent
9,ASAP Twelvyy,Big Pun
10,ASAP Twelvyy,ASAP Nast
11,ASAP Twelvyy,ASAP Nast
12,ASAP Twelvyy,ASAP Ferg
13,ASAP Twelvyy,ASAP Ferg
14,ASAP Twelvyy,AZ (rapper)
15,ASAP Twelvyy,Asher Roth
16,ASAP Twelvyy,Vado (rapper)
17,ASAP Twelvyy,Harry Fraud
18,ASAP Twelvyy,Statik Selektah
19,ASAP Twelvyy,Kirk Knight
0,U-God,Cappadonna
1,U-God,Cappadonna
2,U-God,Method Man
3,U-God,Method Man
4,U-God,Method Man
5,U-God,Method Man
6,U-God,Inspectah Deck
7,U-God,Inspectah Deck
8,U-God,Inspectah Deck
9,U-God,RZA
10,U-God,RZA
11,U-God,RZA
12,U-God,Ghostface Killah
13,U-God,Ghostface Killah
14,U-God,Ol' Dirty Bastard
15,U-God,Sheek Louch
16,U-God,GZA
17,U-God,GZA
18,U-God,Large Professor
19,U-God,Styles P
0,Vado (rapper),Cam'ron
1,Vado (rapper),Cam'ron
2,Vado (rapper),Cam'ron
3,Vado (rapper),Cam'ron
4,Vado (rapper),Cam'ron
5,Vado (rapper),Cam'ron
6,Vado (rapper),Cam'ron
7,Vado (rapper),Big L
8,Vado (rapper),Jae Millz
9,Vado (rapper),Jae Millz
10,Vado (rapper),French Montana
11,Vado (rapper),French Montana
12,Vado (rapper),French Montana
13,Vado (rapper),Lloyd Banks
14,Vado (rapper),Lloyd Banks
15,Vado (rapper),Lloyd Banks
16,Vado (rapper),Dave East
17,Vado (rapper),Dave East
18,Vado (rapper),Fred the Godson
19,Vado (rapper),Uncle Murda
20,Vado (rapper),Uncle Murda
21,Vado (rapper),Uncle Murda
22,Vado (rapper),Uncle Murda
23,Vado (rapper),Cassidy (rapper)
24,Vado (rapper),Cassidy (rapper)
25,Vado (rapper),Joell Ortiz
26,Vado (rapper),Fabolous
27,Vado (rapper),DJ Kay Slay
28,Vado (rapper),DJ Kay Slay
29,Vado (rapper),DJ Kay Slay
30,Vado (rapper),Sauce Money
31,Vado (rapper),Smoke DZA
32,Vado (rapper),Busta Rhymes
33,Vado (rapper),Funkmaster Flex
34,Vado (rapper),Sheek Louch
35,Vado (rapper),Styles P
36,Vado (rapper),Young Chris
37,Vado (rapper),J.R. Writer
38,Vado (rapper),Red Café
39,Vado (rapper),Drag-On
40,Vado (rapper),Prodigy (rapper)
0,Justina Valentine,Fetty Wap
1,Justina Valentine,Nick Cannon
0,Ali Vegas,Statik Selektah
1,Ali Vegas,Statik Selektah
2,Ali Vegas,Styles P
3,Ali Vegas,DJ Premier
4,Ali Vegas,Capone (rapper)
5,Ali Vegas,Fabolous
0,Vinylz,Jay-Z
1,Vinylz,Jay-Z
2,Vinylz,Swizz Beatz
3,Vinylz,Swizz Beatz
4,Vinylz,Drag-On
5,Vinylz,Cassidy (rapper)
6,Vinylz,Cassidy (rapper)
7,Vinylz,Meek Mill
8,Vinylz,Meek Mill
9,Vinylz,Sammy Adams
10,Vinylz,Siya
11,Vinylz,Joe Budden
12,Vinylz,Joe Budden
13,Vinylz,Wiz Khalifa
14,Vinylz,French Montana
15,Vinylz,Bizzle
16,Vinylz,Kid Ink
17,Vinylz,Fabolous
18,Vinylz,DJ Whoo Kid
19,Vinylz,Nipsey Hussle
20,Vinylz,Fetty Wap
21,Vinylz,Mac Miller
22,Vinylz,Kendrick Lamar
23,Vinylz,DJ Dahi
24,Vinylz,Desiigner
25,Vinylz,Cardi B
0,Fetty Wap,6ix9ine
1,Fetty Wap,French Montana
2,Fetty Wap,Snoop Dogg
0,Ohmega Watts,Big Daddy Kane
1,Ohmega Watts,Eric B.
2,Ohmega Watts,Rakim
3,Ohmega Watts,Pete Rock
4,Ohmega Watts,CL Smooth
0,Chris Webby,DJ Drama
1,Chris Webby,DJ Drama
2,Chris Webby,Mac Miller
3,Chris Webby,Mac Miller
4,Chris Webby,Joell Ortiz
5,Chris Webby,Joell Ortiz
6,Chris Webby,Method Man
7,Chris Webby,Method Man
8,Chris Webby,Apathy (rapper)
9,Chris Webby,Apathy (rapper)
10,Chris Webby,Apathy (rapper)
11,Chris Webby,Prodigy (rapper)
12,Chris Webby,Prodigy (rapper)
13,Chris Webby,Kid Ink
14,Chris Webby,Kid Ink
15,Chris Webby,Sammy Adams
16,Chris Webby,Statik Selektah
17,Chris Webby,Slaine (rapper)
18,Chris Webby,Don Cannon
19,Chris Webby,Harry Fraud
20,Chris Webby,Talib Kweli
21,Chris Webby,Talib Kweli
22,Chris Webby,Grafh
23,Chris Webby,B-Real
24,Chris Webby,Futuristic (rapper)
25,Chris Webby,Futuristic (rapper)
26,Chris Webby,Locksmith (rapper)
27,Chris Webby,Locksmith (rapper)
28,Chris Webby,Locksmith (rapper)
29,Chris Webby,Justina Valentine
30,Chris Webby,Justina Valentine
31,Chris Webby,Justina Valentine
32,Chris Webby,Crooked I
33,Chris Webby,Mickey Factz
34,Chris Webby,Dizzy Wright
35,Chris Webby,Smoke DZA
36,Chris Webby,Spose
37,Chris Webby,Berner (rapper)
0,DJ Webstar,Ron Browz
1,DJ Webstar,Ron Browz
2,DJ Webstar,Frenchie (rapper)
3,DJ Webstar,Juelz Santana
4,DJ Webstar,Jadakiss
5,DJ Webstar,Sheek Louch
0,Westside Gunn,Mach-Hommy
1,Westside Gunn,Mach-Hommy
2,Westside Gunn,Roc Marciano
3,Westside Gunn,Conway the Machine
4,Westside Gunn,Conway the Machine
5,Westside Gunn,Conway the Machine
6,Westside Gunn,Conway the Machine
7,Westside Gunn,Benny the Butcher
8,Westside Gunn,"Tyler, the Creator"
9,Westside Gunn,Joey Badass
10,Westside Gunn,Joe Budden
11,Westside Gunn,Smoke DZA
12,Westside Gunn,MF Doom
0,Tierra Whack,"Tyler, the Creator"
1,Tierra Whack,"Tyler, the Creator"
2,Tierra Whack,"Tyler, the Creator"
3,Tierra Whack,Flying Lotus
4,Tierra Whack,Flying Lotus
5,Tierra Whack,Remy Ma
6,Tierra Whack,Meek Mill
7,Tierra Whack,ASAP Rocky
8,Tierra Whack,ASAP Rocky
9,Tierra Whack,Busta Rhymes
0,DJ Whoo Kid,Snoop Dogg
1,DJ Whoo Kid,50 Cent
2,DJ Whoo Kid,DJ Kay Slay
3,DJ Whoo Kid,DJ Drama
4,DJ Whoo Kid,DJ Skee
5,DJ Whoo Kid,DJ Skee
6,DJ Whoo Kid,DJ Skee
7,DJ Whoo Kid,Lil' Kim
8,DJ Whoo Kid,Lloyd Banks
9,DJ Whoo Kid,Tony Yayo
0,Saul Williams,Nas
1,Saul Williams,KRS-One
2,Saul Williams,Tupac Shakur
3,Saul Williams,Sage Francis
0,Wise (musician),Daddy-O (rapper)
1,Wise (musician),KRS-One
2,Wise (musician),Kool Moe Dee
3,Wise (musician),Heavy D
4,Wise (musician),MC Lyte
5,Wise (musician),Doug E. Fresh
6,Wise (musician),Doug E. Fresh
7,Wise (musician),Biz Markie
0,Chevy Woods,Wiz Khalifa
1,Chevy Woods,Wiz Khalifa
2,Chevy Woods,Wiz Khalifa
3,Chevy Woods,Wiz Khalifa
4,Chevy Woods,Wiz Khalifa
5,Chevy Woods,Wiz Khalifa
6,Chevy Woods,French Montana
7,Chevy Woods,Mac Miller
8,Chevy Woods,Mac Miller
9,Chevy Woods,Harry Fraud
10,Chevy Woods,Schoolboy Q
11,Chevy Woods,Kendrick Lamar
12,Chevy Woods,Joey Badass
13,Chevy Woods,Ty Dolla Sign
14,Chevy Woods,DJ Drama
15,Chevy Woods,Ab-Soul
16,Chevy Woods,Berner (rapper)
0,Jimmy Wopo,Wiz Khalifa
1,Jimmy Wopo,Wiz Khalifa
2,Jimmy Wopo,Wiz Khalifa
0,Wordsworth (rapper),Prince Paul (producer)
1,Wordsworth (rapper),Prince Paul (producer)
2,Wordsworth (rapper),Pumpkinhead (rapper)
3,Wordsworth (rapper),Oh No (musician)
0,J.R. Writer,Cassidy (rapper)
1,J.R. Writer,Cassidy (rapper)
2,J.R. Writer,Vado (rapper)
3,J.R. Writer,Vado (rapper)
4,J.R. Writer,Styles P
5,J.R. Writer,Hell Rell
6,J.R. Writer,DJ Kay Slay
7,J.R. Writer,Red Café
8,J.R. Writer,Uncle Murda
9,J.R. Writer,Fred the Godson
10,J.R. Writer,Drag-On
11,J.R. Writer,Dave East
0,Wyldfyer,Nas
1,Wyldfyer,Nas
2,Wyldfyer,Nas
3,Wyldfyer,Nas
4,Wyldfyer,Nas
5,Wyldfyer,Nas
6,Wyldfyer,Nas
7,Wyldfyer,Nas
8,Wyldfyer,Nas
9,Wyldfyer,Jay-Z
10,Wyldfyer,Jay-Z
11,Wyldfyer,Jay-Z
12,Wyldfyer,Jay-Z
13,Wyldfyer,Jay-Z
14,Wyldfyer,Kendrick Lamar
15,Wyldfyer,Kendrick Lamar
16,Wyldfyer,Kendrick Lamar
17,Wyldfyer,Kendrick Lamar
18,Wyldfyer,Kendrick Lamar
19,Wyldfyer,Kendrick Lamar
20,Wyldfyer,Kendrick Lamar
21,Wyldfyer,Jay Rock
22,Wyldfyer,Jay Rock
23,Wyldfyer,Busta Rhymes
24,Wyldfyer,Schoolboy Q
25,Wyldfyer,Terrace Martin
26,Wyldfyer,Punch (rapper)
0,Tony Yayo,50 Cent
1,Tony Yayo,50 Cent
2,Tony Yayo,Lloyd Banks
3,Tony Yayo,Lloyd Banks
4,Tony Yayo,Lloyd Banks
5,Tony Yayo,Funkmaster Flex
6,Tony Yayo,The Game (rapper)
7,Tony Yayo,John Cena
0,Young Chris,Jay-Z
1,Young Chris,Jay-Z
2,Young Chris,Jay-Z
3,Young Chris,Jay-Z
4,Young Chris,Just Blaze
5,Young Chris,Swizz Beatz
6,Young Chris,Swizz Beatz
7,Young Chris,Memphis Bleek
8,Young Chris,Juelz Santana
9,Young Chris,DJ Drama
10,Young Chris,DJ Drama
11,Young Chris,DJ Drama
12,Young Chris,Don Cannon
13,Young Chris,Don Cannon
14,Young Chris,Black Thought
15,Young Chris,Black Thought
16,Young Chris,Fat Joe
17,Young Chris,Fat Joe
18,Young Chris,Fred the Godson
19,Young Chris,Ol' Dirty Bastard
20,Young Chris,Joe Budden
21,Young Chris,Beanie Sigel
22,Young Chris,Meek Mill
23,Young Chris,The Game (rapper)
24,Young Chris,Lloyd Banks
0,Young M.A,Mike Zombie
1,Young M.A,Uncle Murda
2,Young M.A,Uncle Murda
3,Young M.A,Uncle Murda
4,Young M.A,Remy Ma
5,Young M.A,Remy Ma
6,Young M.A,French Montana
7,Young M.A,Jadakiss
8,Young M.A,ASAP Ferg
9,Young M.A,Snoop Dogg
10,Young M.A,Fivio Foreign
11,Young M.A,Fivio Foreign
12,Young M.A,Fivio Foreign
13,Young M.A,Statik Selektah
14,Young M.A,Pras
15,Young M.A,Coi Leray
0,Young Music DYMG,Sean Combs
0,Younglord,Sean Combs
1,Younglord,Sean Combs
2,Younglord,Sean Combs
3,Younglord,Mase
4,Younglord,Lloyd Banks
5,Younglord,Lloyd Banks
6,Younglord,Lloyd Banks
7,Younglord,Consequence (rapper)
8,Younglord,Consequence (rapper)
9,Younglord,Big Pun
10,Younglord,Big Pun
11,Younglord,Big Pun
12,Younglord,Big Pun
13,Younglord,Big Pun
14,Younglord,The Notorious B.I.G.
15,Younglord,Fat Joe
16,Younglord,Fat Joe
17,Younglord,Fat Joe
18,Younglord,Black Rob
19,Younglord,Kool G Rap
0,ZillaKami,6ix9ine
1,ZillaKami,6ix9ine
2,ZillaKami,6ix9ine
3,ZillaKami,JPEGMafia
4,ZillaKami,JPEGMafia
5,ZillaKami,Necro (rapper)
0,Mike Zombie,Meek Mill
1,Mike Zombie,Jay-Z
2,Mike Zombie,Jay-Z
3,Mike Zombie,French Montana
4,Mike Zombie,French Montana
5,Mike Zombie,The Game (rapper)
6,Mike Zombie,The Game (rapper)
7,Mike Zombie,The Game (rapper)
8,Mike Zombie,Hit-Boy
9,Mike Zombie,Hodgy
10,Mike Zombie,Iamsu!
11,Mike Zombie,Casey Veggies
12,Mike Zombie,Chevy Woods
13,Mike Zombie,Young M.A
14,Mike Zombie,Young M.A
15,Mike Zombie,Dom Kennedy
0,03 Greedo,Mike Free
0,24kGoldn,Ty Dolla Sign
1,24kGoldn,Lil Tecca
2,24kGoldn,Skizzy Mars
3,24kGoldn,Wiz Khalifa
4,24kGoldn,Wiz Khalifa
0,40 Glocc,Ras Kass
1,40 Glocc,Ras Kass
2,40 Glocc,Kurupt
3,40 Glocc,Dr. Dre
4,40 Glocc,Dr. Dre
5,40 Glocc,The Alchemist (musician)
6,40 Glocc,Havoc (musician)
0,DJ A-Tron,Nipsey Hussle
1,DJ A-Tron,Nipsey Hussle
2,DJ A-Tron,TeeFlii
0,Ab-Soul,Jay Rock
1,Ab-Soul,Kendrick Lamar
2,Ab-Soul,Schoolboy Q
3,Ab-Soul,Punch (rapper)
4,Ab-Soul,Punch (rapper)
5,Ab-Soul,Murs (rapper)
6,Ab-Soul,Willie B (producer)
7,Ab-Soul,Sway Calloway
8,Ab-Soul,Joe Budden
9,Ab-Soul,Macklemore
10,Ab-Soul,Nipsey Hussle
11,Ab-Soul,Statik Selektah
12,Ab-Soul,The Alchemist (musician)
13,Ab-Soul,Joey Badass
14,Ab-Soul,Canibus
15,Ab-Soul,Nas
16,Ab-Soul,Jay-Z
0,Abstract Rude,Haiku d'Etat
1,Abstract Rude,Haiku d'Etat
2,Abstract Rude,Myka 9
3,Abstract Rude,Myka 9
4,Abstract Rude,Myka 9
5,Abstract Rude,Aceyalone
6,Abstract Rude,Aceyalone
7,Abstract Rude,Aceyalone
8,Abstract Rude,Aceyalone
9,Abstract Rude,Busdriver
10,Abstract Rude,Nobody (producer)
11,Abstract Rude,Peace (rapper)
12,Abstract Rude,Sleep (rapper)
13,Abstract Rude,Self Jupiter
14,Abstract Rude,Oh No (musician)
0,Aceyalone,Haiku d'Etat
1,Aceyalone,Haiku d'Etat
2,Aceyalone,Myka 9
3,Aceyalone,Myka 9
4,Aceyalone,Busta Rhymes
5,Aceyalone,Abstract Rude
6,Aceyalone,Abstract Rude
7,Aceyalone,Evidence (musician)
8,Aceyalone,Self Jupiter
0,Afroman,Method Man
0,Ak'Sent,DJ Quik
1,Ak'Sent,Hopsin
0,The Alchemist (musician),Scott Caan
1,The Alchemist (musician),Scott Caan
2,The Alchemist (musician),Oh No (musician)
3,The Alchemist (musician),Oh No (musician)
4,The Alchemist (musician),Evidence (musician)
5,The Alchemist (musician),Evidence (musician)
6,The Alchemist (musician),Evidence (musician)
7,The Alchemist (musician),B-Real
8,The Alchemist (musician),Fat Joe
9,The Alchemist (musician),Jadakiss
10,The Alchemist (musician),Jadakiss
11,The Alchemist (musician),Jadakiss
12,The Alchemist (musician),Ghostface Killah
13,The Alchemist (musician),Snoop Dogg
14,The Alchemist (musician),Snoop Dogg
15,The Alchemist (musician),Ras Kass
16,The Alchemist (musician),Prodigy (rapper)
17,The Alchemist (musician),Prodigy (rapper)
18,The Alchemist (musician),Prodigy (rapper)
19,The Alchemist (musician),50 Cent
20,The Alchemist (musician),Fashawn
21,The Alchemist (musician),Fashawn
22,The Alchemist (musician),Domo Genesis
23,The Alchemist (musician),Domo Genesis
24,The Alchemist (musician),Action Bronson
25,The Alchemist (musician),Action Bronson
26,The Alchemist (musician),Action Bronson
27,The Alchemist (musician),Roc Marciano
28,The Alchemist (musician),Roc Marciano
29,The Alchemist (musician),Roc Marciano
30,The Alchemist (musician),Earl Sweatshirt
31,The Alchemist (musician),Earl Sweatshirt
32,The Alchemist (musician),Earl Sweatshirt
33,The Alchemist (musician),Mac Miller
34,The Alchemist (musician),Mac Miller
35,The Alchemist (musician),Schoolboy Q
36,The Alchemist (musician),Schoolboy Q
37,The Alchemist (musician),Havoc (musician)
38,The Alchemist (musician),Havoc (musician)
39,The Alchemist (musician),Westside Gunn
40,The Alchemist (musician),Westside Gunn
41,The Alchemist (musician),Conway the Machine
42,The Alchemist (musician),Conway the Machine
43,The Alchemist (musician),Conway the Machine
44,The Alchemist (musician),Big Daddy Kane
45,The Alchemist (musician),Lloyd Banks
46,The Alchemist (musician),Pusha T
47,The Alchemist (musician),Big Body Bes
48,The Alchemist (musician),Hit-Boy
49,The Alchemist (musician),MC Eiht
50,The Alchemist (musician),Spice 1
51,The Alchemist (musician),Mach-Hommy
52,The Alchemist (musician),Wiz Khalifa
53,The Alchemist (musician),Benny the Butcher
54,The Alchemist (musician),Kool G Rap
55,The Alchemist (musician),Vince Staples
0,AMG (rapper),DJ Quik
1,AMG (rapper),DJ Quik
0,Antwon,The Notorious B.I.G.
1,Antwon,Isaiah Toothtaker
0,B-Legit,Tupac Shakur
1,B-Legit,Too Short
2,B-Legit,Too Short
3,B-Legit,Snoop Dogg
4,B-Legit,Snoop Dogg
5,B-Legit,Daz Dillinger
6,B-Legit,Daz Dillinger
7,B-Legit,Kurupt
8,B-Legit,Kurupt
9,B-Legit,Mack 10
10,B-Legit,Mack 10
11,B-Legit,Mac Dre
12,B-Legit,Mac Dre
13,B-Legit,E-40
14,B-Legit,E-40
15,B-Legit,E-40
16,B-Legit,E-40
17,B-Legit,Jadakiss
18,B-Legit,Styles P
19,B-Legit,Spice 1
20,B-Legit,Mac Shawn
21,B-Legit,Yukmouth
22,B-Legit,Yukmouth
23,B-Legit,Yukmouth
24,B-Legit,Stressmatic
25,B-Legit,Young Noble
26,B-Legit,Shady Nate
27,B-Legit,Afroman
0,B-Real,Berner (rapper)
1,B-Real,Snoop Dogg
2,B-Real,Snoop Dogg
0,B.G. Knocc Out,Eazy-E
1,B.G. Knocc Out,Eazy-E
2,B.G. Knocc Out,Glasses Malone
3,B.G. Knocc Out,MC Eiht
0,Show Banga,E-40
1,Show Banga,E-40
2,Show Banga,Iamsu!
3,Show Banga,Iamsu!
4,Show Banga,Iamsu!
5,Show Banga,Iamsu!
6,Show Banga,Iamsu!
7,Show Banga,Sage the Gemini
8,Show Banga,Sage the Gemini
9,Show Banga,Sage the Gemini
10,Show Banga,Sage the Gemini
11,Show Banga,Sage the Gemini
12,Show Banga,Sage the Gemini
13,Show Banga,Clyde Carson
14,Show Banga,San Quinn
15,Show Banga,YG (rapper)
0,Ant Banks,E-40
1,Ant Banks,E-40
2,Ant Banks,E-40
3,Ant Banks,E-40
4,Ant Banks,E-40
5,Ant Banks,E-40
6,Ant Banks,E-40
7,Ant Banks,Mac Dre
8,Ant Banks,MC Eiht
9,Ant Banks,MC Eiht
10,Ant Banks,Pooh-Man
11,Ant Banks,Pooh-Man
12,Ant Banks,Pooh-Man
13,Ant Banks,Pooh-Man
14,Ant Banks,Pooh-Man
15,Ant Banks,Spice 1
16,Ant Banks,Spice 1
17,Ant Banks,Spice 1
18,Ant Banks,Spice 1
19,Ant Banks,Spice 1
20,Ant Banks,Spice 1
21,Ant Banks,Spice 1
22,Ant Banks,Too Short
23,Ant Banks,Too Short
24,Ant Banks,Too Short
25,Ant Banks,Too Short
26,Ant Banks,Too Short
27,Ant Banks,Too Short
28,Ant Banks,Too Short
29,Ant Banks,Too Short
30,Ant Banks,Too Short
31,Ant Banks,Too Short
32,Ant Banks,Too Short
33,Ant Banks,Snoop Dogg
34,Ant Banks,Snoop Dogg
35,Ant Banks,Biz Markie
36,Ant Banks,Fat Joe
37,Ant Banks,Rappin' 4-Tay
38,Ant Banks,Rappin' 4-Tay
39,Ant Banks,Rappin' 4-Tay
40,Ant Banks,Rappin' 4-Tay
41,Ant Banks,Mac Mall
42,Ant Banks,Mac Mall
43,Ant Banks,Mack 10
44,Ant Banks,WC (rapper)
45,Ant Banks,B-Legit
46,Ant Banks,CJ Mac
47,Ant Banks,Captain Save 'Em
48,Ant Banks,King T
49,Ant Banks,Hussein Fatal
50,Ant Banks,V-White
0,Sho Baraka,Lecrae
1,Sho Baraka,Lecrae
2,Sho Baraka,Lecrae
3,Sho Baraka,Lecrae
4,Sho Baraka,Tedashii
5,Sho Baraka,Tedashii
6,Sho Baraka,Trip Lee
7,Sho Baraka,Trip Lee
8,Sho Baraka,Andy Mineo
0,Becky G,French Montana
1,Becky G,French Montana
2,Becky G,Wiz Khalifa
3,Becky G,Saweetie
4,Becky G,Snoop Dogg
0,Beefy (rapper),MC Frontalot
1,Beefy (rapper),MC Frontalot
2,Beefy (rapper),MC Frontalot
3,Beefy (rapper),MC Lars
4,Beefy (rapper),MC Lars
5,Beefy (rapper),MC Lars
6,Beefy (rapper),MC Lars
7,Beefy (rapper),MC Lars
8,Beefy (rapper),MC Lars
0,Berner (rapper),B-Real
1,Berner (rapper),B-Real
2,Berner (rapper),Cam'ron
3,Berner (rapper),Cam'ron
4,Berner (rapper),Cam'ron
5,Berner (rapper),The Jacka
6,Berner (rapper),The Jacka
7,Berner (rapper),San Quinn
8,Berner (rapper),San Quinn
9,Berner (rapper),San Quinn
10,Berner (rapper),Styles P
11,Berner (rapper),Styles P
12,Berner (rapper),Wiz Khalifa
13,Berner (rapper),Wiz Khalifa
14,Berner (rapper),Wiz Khalifa
15,Berner (rapper),Wiz Khalifa
16,Berner (rapper),Iamsu!
17,Berner (rapper),Rydah J. Klyde
18,Berner (rapper),Messy Marv
0,Big B (rapper),Daddy X
1,Big B (rapper),Ice-T
0,Big Dave (rapper),Ice Cube
1,Big Dave (rapper),Xzibit
2,Big Dave (rapper),Kurupt
3,Big Dave (rapper),Kurupt
4,Big Dave (rapper),KRS-One
5,Big Dave (rapper),Snoop Dogg
6,Big Dave (rapper),Joell Ortiz
7,Big Dave (rapper),WC (rapper)
8,Big Dave (rapper),Necro (rapper)
0,Big Ed (rapper),Snoop Dogg
0,Big Fase 100,Lloyd Banks
1,Big Fase 100,The Game (rapper)
2,Big Fase 100,JT the Bigga Figga
3,Big Fase 100,DJ Skee
0,Bizzle,Jay-Z
1,Bizzle,Jay-Z
2,Bizzle,Macklemore
3,Bizzle,Macklemore
4,Bizzle,Tupac Shakur
5,Bizzle,Juelz Santana
6,Bizzle,No Malice
7,Bizzle,MC Jin
8,Bizzle,Lecrae
9,Bizzle,Andy Mineo
0,Aloe Blacc,DJ Khalil
1,Aloe Blacc,DJ Khalil
2,Aloe Blacc,Fashawn
3,Aloe Blacc,Exile (producer)
4,Aloe Blacc,Mike Shinoda
0,Guerilla Black,Daz Dillinger
1,Guerilla Black,The Notorious B.I.G.
2,Guerilla Black,Shorty Mack
0,Nissim Black,Jake One
1,Nissim Black,Jake One
2,Nissim Black,Jake One
3,Nissim Black,Jake One
4,Nissim Black,The Notorious B.I.G.
5,Nissim Black,Kosha Dillz
6,Nissim Black,Kosha Dillz
0,Toni Blackman,Mos Def
1,Toni Blackman,Guru (rapper)
0,Blueface,Cardi B
1,Blueface,Cardi B
2,Blueface,Cardi B
3,Blueface,YG (rapper)
4,Blueface,YG (rapper)
5,Blueface,YG (rapper)
6,Blueface,YG (rapper)
7,Blueface,YG (rapper)
8,Blueface,50 Cent
9,Blueface,The Game (rapper)
10,Blueface,The Game (rapper)
11,Blueface,The Game (rapper)
12,Blueface,Snoop Dogg
13,Blueface,Snoop Dogg
14,Blueface,E-40
15,Blueface,Suga Free
16,Blueface,Justina Valentine
17,Blueface,French Montana
18,Blueface,Lil Tjay
0,Blxst,Ty Dolla Sign
1,Blxst,Ty Dolla Sign
2,Blxst,Ty Dolla Sign
3,Blxst,Ty Dolla Sign
4,Blxst,Ty Dolla Sign
5,Blxst,Kendrick Lamar
6,Blxst,Kendrick Lamar
7,Blxst,Kendrick Lamar
8,Blxst,Kendrick Lamar
9,Blxst,Kendrick Lamar
10,Blxst,YG (rapper)
11,Blxst,YG (rapper)
12,Blxst,YG (rapper)
13,Blxst,Problem (rapper)
14,Blxst,Problem (rapper)
15,Blxst,Dom Kennedy
16,Blxst,Dom Kennedy
17,Blxst,Drakeo the Ruler
18,Blxst,Drakeo the Ruler
19,Blxst,Drakeo the Ruler
20,Blxst,Drakeo the Ruler
21,Blxst,Nate Dogg
22,Blxst,Blueface
23,Blxst,Blueface
24,Blxst,Buddy (rapper)
25,Blxst,Snoop Dogg
26,Blxst,Joey Fatts
27,Blxst,E-40
28,Blxst,Nas
29,Blxst,Casey Veggies
0,Bones (rapper),ASAP Rocky
0,Braille (musician),Ohmega Watts
1,Braille (musician),Ohmega Watts
2,Braille (musician),Ohmega Watts
0,Buddy (rapper),Nipsey Hussle
1,Buddy (rapper),Nipsey Hussle
2,Buddy (rapper),Nipsey Hussle
3,Buddy (rapper),Nipsey Hussle
4,Buddy (rapper),Snoop Dogg
5,Buddy (rapper),Wiz Khalifa
6,Buddy (rapper),Wiz Khalifa
7,Buddy (rapper),Wiz Khalifa
8,Buddy (rapper),Kendrick Lamar
9,Buddy (rapper),DJ Khalil
10,Buddy (rapper),Joey Badass
11,Buddy (rapper),Ty Dolla Sign
12,Buddy (rapper),DJ Quik
13,Buddy (rapper),Problem (rapper)
14,Buddy (rapper),ASAP Rocky
15,Buddy (rapper),Cousin Stizz
16,Buddy (rapper),Cozz
17,Buddy (rapper),Cozz
18,Buddy (rapper),Asher Roth
19,Buddy (rapper),Terrace Martin
0,Busdriver,Nocando
1,Busdriver,Nocando
2,Busdriver,Nocando
3,Busdriver,Nocando
4,Busdriver,Nobody (producer)
5,Busdriver,Nobody (producer)
6,Busdriver,Myka 9
7,Busdriver,Myka 9
8,Busdriver,Aesop Rock
9,Busdriver,Aesop Rock
10,Busdriver,Flash Bang Grenada
11,Busdriver,Flying Lotus
12,Busdriver,Haiku d'Etat
13,Busdriver,K-the-I???
14,Busdriver,Sole (hip hop artist)
15,Busdriver,Sole (hip hop artist)
16,Busdriver,Abstract Rude
17,Busdriver,Ceschi
0,Scott Caan,The Alchemist (musician)
1,Scott Caan,The Alchemist (musician)
2,Scott Caan,Evidence (musician)
0,Sway Calloway,King Tech
1,Sway Calloway,Ras Kass
2,Sway Calloway,RZA
3,Sway Calloway,Xzibit
4,Sway Calloway,Kool G Rap
5,Sway Calloway,KRS-One
6,Sway Calloway,Big Daddy Kane
7,Sway Calloway,Pharoahe Monch
0,Nick Cannon,Will Smith
